year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_day,sale_date
2015,Chevrolet,Impala,LTZ,Sedan,automatic,2g1165s30f9103921,ca,19.0,14538.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,24300.0,7200.0,Tue,2015-07-07 09:30:00
2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c51ed501631,ca,29.0,25969.0,black,black,financial services remarketing (lease),34200.0,30000.0,Tue,2015-02-03 04:30:00
2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d31e9134662,ca,30.672364844237016,33450.0,black,black,avis rac/san leandro,20100.0,14700.0,Tue,2014-12-16 12:00:00
2015,Audi,A3,1.8 TFSI Premium,Sedan,automatic,wauacgff7f1002327,ca,49.0,5826.0,gray,black,audi north scottsdale,24000.0,23750.0,Thu,2014-12-18 12:30:00
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c57ed169262,ca,38.0,10736.0,black,black,the hertz corporation,67000.0,65000.0,Tue,2015-01-06 12:30:00
2015,Hyundai,Sonata,SE,Sedan,automatic,5npe24af4fh038482,ca,30.672364844237016,9281.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,15150.0,8500.0,Tue,2014-12-16 13:00:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1198103,ca,42.0,16506.0,brown,brown,volvo na rep/world omni,32100.0,32500.0,Thu,2015-02-26 04:30:00
2015,Volvo,XC70,T6,Wagon,automatic,yv4902nb3f1196951,ca,48.0,12725.0,beige,beige,volvo na rep/world omni,32300.0,32500.0,Thu,2015-02-12 04:30:00
2014,BMW,X5,sDrive35i,SUV,automatic,5uxkr2c52e0h33130,ca,30.672364844237016,11278.0,gray,black,avis rac/san leandro,50400.0,34000.0,Tue,2014-12-16 13:00:00
2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e35e9238302,ca,42.0,11874.0,gray,black,midway hfc fleet/ars,22200.0,19500.0,Thu,2014-12-18 12:00:00
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb2e7105471,ca,42.0,37888.0,gray,black,enterprise vehicle exchange/orange,11600.0,11500.0,Tue,2014-12-30 12:30:00
2014,Audi,SQ5,3.0T Premium Plus quattro,SUV,automatic,wa1cgafp4ea030312,ca,42.0,9606.0,white,black,audi of downtown l a,48600.0,47500.0,Thu,2015-01-29 04:00:00
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg565226,ca,5.0,13757.0,red,black,kia motors america  inc,20600.0,20750.0,Tue,2014-12-16 12:30:00
2014,Audi,S5,Premium Plus quattro,Coupe,automatic,waucgafrxea001689,ca,38.0,5875.0,black,black,fratelli investment group,46500.0,44500.0,Thu,2014-12-18 12:00:00
2015,Kia,Sorento,LX,SUV,automatic,5xyktca68fg559481,ca,44.0,12862.0,gray,black,kia motors america  inc,20700.0,21000.0,Tue,2014-12-16 12:30:00
2014,Buick,Verano,Convenience Group,Sedan,automatic,1g4pr5sk8e4175320,ca,2.0,19531.0,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,15000.0,9200.0,Tue,2015-01-06 04:00:00
2015,Chevrolet,Suburban,LTZ,SUV,automatic,1gnskkkc3fr187901,ca,45.0,11426.0,black,black,midway hfc fleet/ars,57300.0,59900.0,Thu,2014-12-18 12:00:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c50ek108497,ca,5.0,111.0,black,â€”,financial services remarketing (lease),32200.0,30500.0,Thu,2015-01-15 04:30:00
2014,BMW,M5,Base,Sedan,automatic,wbsfv9c56ed593069,ca,38.0,16360.0,black,black,the hertz corporation,65000.0,64250.0,Tue,2015-01-13 04:30:00
2014,BMW,3 Series,328i SULEV,Sedan,automatic,wba3c1c58ek106688,ca,45.0,9027.0,white,black,financial services remarketing (lease),30200.0,27500.0,Thu,2015-01-15 04:30:00
